UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
06.02.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14595387.57;0.012283;1188263035.794;11884;0;0.38;0;0;84;0;0;0;12.79
06.02.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;22526011.82;0.075607;297937141.469;19649;87.69;6.15;6.16;0;0;0;0;0;0
06.02.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30554660.47;0.048273;632951306.999;29213;31.83;2.53;2.53;0;38.47;0;0;0;24.64
06.02.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23196927.62;0.037988;610637437.529;28571;0;57.47;0;0;23.87;0;0;0;18.66
06.02.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;19314020.39;0.011757;1642764510.549;10499;29.97;1.81;0;6.52;48.56;0;1.13;0;12.01
07.02.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14611383.67;0.012315;1186498167.091;11858;0;0.23;0;0;83.85;0;0;0;13.04
07.02.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;22286785.77;0.074929;297440666.412;19646;85.54;7.23;7.23;0;0;0;0;0;0
07.02.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30482904.17;0.048202;632404362.011;29207;30.79;4.43;4.43;0;36.78;0;0;0;23.57
07.02.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23283151.81;0.037999;612728995.97;28570;0;57.63;0;0;23.79;0;0;0;18.58
07.02.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;19317299.8;0.01171;1649592012.004;10505;29.51;1.28;0;6.51;48.5;0;1.13;0;13.07
08.02.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14550087.43;0.012278;1185036859.32;11826;0;0.71;0;0;84.63;0;0;0;11.77
08.02.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;22327374.84;0.07509;297340492.787;19638;81.12;9.44;9.44;0;0;0;0;0;0
08.02.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30494866.74;0.048251;632006508.82;29200;30.15;5.49;5.49;0;35.87;0;0;0;23
08.02.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23248390.68;0.038008;611675057.603;28371;0;57.56;0;0;23.83;0;0;0;18.61
08.02.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;19397655.36;0.011708;1656835302.801;10520;29.38;1.77;0;6.48;48.24;0;1.12;0;13.01
09.02.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14519136.84;0.012263;1184021639.672;11816;0;0.17;0;0;85.13;0;0;0;11.81
09.02.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;22474834.98;0.075744;296720556.742;19638;82.85;8.57;8.58;0;0;0;0;0;0
09.02.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30611128.99;0.048423;632155578.809;29200;30.77;5.18;5.19;0;35.86;0;0;0;23
09.02.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23259535.81;0.038017;611823500.845;28371;0;57.57;0;0;23.82;0;0;0;18.61
09.02.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;19486370.24;0.011746;1658947586.753;10508;29.59;1.96;0;6.46;47.91;0;1.12;0;12.96
10.02.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14534555.56;0.012288;1182846530.655;11797;0;0.07;0;0;85.24;0;0;0;11.8
10.02.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;22545594.62;0.075986;296708852.501;19623;83.57;8.22;8.21;0;0;0;0;0;0
10.02.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30624944.74;0.048456;632014375.667;29191;30.82;5.2;5.2;0;35.81;0;0;0;22.97
10.02.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23197745.64;0.038027;610034543.683;28268;0;57.44;0;0;23.9;0;0;0;18.66
